SOVisitFreq,SOPartFreq,SOComm,SOAccount,ResponseId
Multiple times per day,A few times per month or weekly,"Yes, definitely",Yes,149
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,150
Daily or almost daily,I have never participated in Q&A on Stack Overflow,Neutral,Yes,151
,,,Yes,152
Multiple times per day,A few times per week,"No, not at all",Yes,153
A few times per week,,"No, not really",No,154
Daily or almost daily,Less than once per month or monthly,"Yes, definitely",Yes,155
A few times per week,Less than once per month or monthly,"No, not really",Yes,156
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,157
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,158
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,159
Daily or almost daily,,"No, not at all",No,160
A few times per week,,"Yes, somewhat",Not sure/can't remember,161
A few times per week,,Neutral,No,162
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,163
Daily or almost daily,A few times per month or weekly,"Yes, definitely",Yes,164
Multiple times per day,,Neutral,No,165
Multiple times per day,,"No, not really",No,166
Multiple times per day,A few times per week,"Yes, somewhat",Yes,167
A few times per week,,"No, not really",No,168
Less than once per month or monthly,Less than once per month or monthly,Neutral,Yes,169
Daily or almost daily,,"No, not really",Not sure/can't remember,170
A few times per month or weekly,,"No, not at all",No,171
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,172
A few times per week,Less than once per month or monthly,Neutral,Yes,173
A few times per week,,"No, not really",No,174
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,175
Multiple times per day,Less than once per month or monthly,Neutral,Yes,176
A few times per month or weekly,,"Yes, somewhat",Not sure/can't remember,177
A few times per week,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,178
Multiple times per day,,"Yes, somewhat",Not sure/can't remember,179
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,180
Multiple times per day,Less than once per month or monthly,Not sure,Yes,181
A few times per month or weekly,,"No, not really",No,182
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,183
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,184
Daily or almost daily,,Neutral,No,185
A few times per month or weekly,,"No, not really",No,186
Daily or almost daily,A few times per week,"Yes, definitely",Yes,187
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,188
A few times per week,,"No, not really",No,189
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,191
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,192
Multiple times per day,A few times per week,"Yes, definitely",Yes,193
A few times per week,,Neutral,No,194
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,195
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,196
A few times per week,A few times per month or weekly,"No, not really",Yes,197
Less than once per month or monthly,,"No, not at all",Not sure/can't remember,198
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,199
Daily or almost daily,Less than once per month or monthly,"Yes, definitely",Yes,200
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,201
Multiple times per day,A few times per week,"Yes, definitely",Yes,202
Multiple times per day,Less than once per month or monthly,Neutral,Yes,203
Multiple times per day,Less than once per month or monthly,Neutral,Yes,204
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,205
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,206
Multiple times per day,A few times per week,"Yes, somewhat",Yes,207
Less than once per month or monthly,Less than once per month or monthly,Neutral,Yes,208
A few times per week,,Neutral,No,209
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,210
A few times per week,,"No, not really",No,211
Multiple times per day,,"No, not really",No,212
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,213
A few times per week,,"No, not really",No,214
Daily or almost daily,,"No, not really",No,215
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,216
Less than once per month or monthly,Less than once per month or monthly,Neutral,Yes,217
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,218
A few times per month or weekly,,"No, not at all",Not sure/can't remember,219
A few times per week,,Neutral,Not sure/can't remember,220
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,221
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,222
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,223
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,224
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,225
Less than once per month or monthly,,"No, not at all",No,226
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,227
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,228
Less than once per month or monthly,,"No, not really",No,229
A few times per month or weekly,,"No, not at all",Not sure/can't remember,231
A few times per month or weekly,Less than once per month or monthly,"Yes, definitely",Yes,232
A few times per week,Less than once per month or monthly,"No, not really",Yes,233
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,234
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,235
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,236
A few times per month or weekly,,"No, not at all",No,237
A few times per month or weekly,A few times per month or weekly,"Yes, somewhat",Yes,238
A few times per week,Less than once per month or monthly,Neutral,Yes,239
A few times per week,,"No, not really",No,240
Multiple times per day,A few times per week,"No, not really",Yes,241
A few times per week,,"No, not at all",No,242
A few times per week,,"No, not really",Not sure/can't remember,243
A few times per week,,"No, not really",No,244
A few times per week,Less than once per month or monthly,"No, not really",Yes,245
Daily or almost daily,,"No, not really",No,246
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,247
A few times per month or weekly,,Neutral,No,248
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,249
A few times per week,Less than once per month or monthly,"Yes, definitely",Yes,250
A few times per week,Less than once per month or monthly,"No, not really",Yes,251
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,252
A few times per week,Less than once per month or monthly,Neutral,Yes,253
Daily or almost daily,A few times per month or weekly,"No, not really",Yes,254
Multiple times per day,Multiple times per day,"No, not really",Yes,255
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,256
Daily or almost daily,Daily or almost daily,"Yes, somewhat",Yes,257
Multiple times per day,I have never participated in Q&A on Stack Overflow,Neutral,Yes,258
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,259
A few times per week,A few times per week,"Yes, somewhat",Yes,260
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,261
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,262
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,263
A few times per week,Less than once per month or monthly,"No, not really",Yes,264
Less than once per month or monthly,,"No, not at all",No,265
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,266
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,267
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,268
Multiple times per day,Less than once per month or monthly,"No, not at all",Yes,269
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,270
Less than once per month or monthly,Less than once per month or monthly,"No, not at all",Yes,271
Daily or almost daily,,"No, not really",No,272
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,273
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,274
Multiple times per day,,Not sure,Not sure/can't remember,275
A few times per week,Less than once per month or monthly,"No, not at all",Yes,276
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,277
A few times per week,Less than once per month or monthly,"No, not really",Yes,278
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,279
Daily or almost daily,Less than once per month or monthly,"No, not at all",Yes,280
Daily or almost daily,,"Yes, somewhat",No,281
Daily or almost daily,,"No, not at all",No,282
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,283
Daily or almost daily,Multiple times per day,"Yes, somewhat",Yes,284
A few times per week,Less than once per month or monthly,"No, not really",Yes,285
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,286
A few times per week,,"No, not really",Not sure/can't remember,287
Daily or almost daily,,Neutral,Not sure/can't remember,288
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,289
Multiple times per day,,"No, not really",No,290
Daily or almost daily,Multiple times per day,"Yes, definitely",Yes,291
A few times per week,Less than once per month or monthly,"No, not really",Yes,292
A few times per week,A few times per week,"Yes, somewhat",Yes,293
A few times per week,,"No, not at all",No,294
A few times per week,Less than once per month or monthly,"No, not really",Yes,295
Multiple times per day,A few times per week,"Yes, definitely",Yes,296
Multiple times per day,A few times per week,"Yes, somewhat",Yes,297
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,298
A few times per week,Less than once per month or monthly,"No, not really",Yes,299
A few times per week,A few times per month or weekly,"No, not really",Yes,300
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,301
Daily or almost daily,A few times per month or weekly,"No, not really",Yes,302
Less than once per month or monthly,,"No, not at all",Not sure/can't remember,303
A few times per week,A few times per month or weekly,Neutral,Yes,304
Multiple times per day,Less than once per month or monthly,Neutral,Yes,305
Daily or almost daily,I have never participated in Q&A on Stack Overflow,Neutral,Yes,306
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,307
Daily or almost daily,I have never participated in Q&A on Stack Overflow,Neutral,Yes,308
Daily or almost daily,A few times per week,"No, not really",Yes,309
Multiple times per day,,Neutral,No,310
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,311
A few times per week,,"No, not really",No,312
A few times per week,Less than once per month or monthly,"No, not really",Yes,313
A few times per month or weekly,A few times per month or weekly,"No, not really",Yes,314
A few times per week,,Neutral,Not sure/can't remember,315
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,316
A few times per week,Less than once per month or monthly,"No, not really",Yes,317
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,318
Less than once per month or monthly,,"No, not really",No,319
Multiple times per day,,"No, not at all",Not sure/can't remember,320
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,321
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,322
A few times per month or weekly,,"No, not at all",No,323
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,324
A few times per month or weekly,,Neutral,Not sure/can't remember,325
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,326
Less than once per month or monthly,,"No, not at all",No,327
Multiple times per day,Less than once per month or monthly,"Yes, definitely",Yes,328
Daily or almost daily,,Neutral,No,329
A few times per week,Less than once per month or monthly,"No, not really",Yes,330
A few times per week,Less than once per month or monthly,Neutral,Yes,331
Daily or almost daily,,Neutral,No,332
Less than once per month or monthly,,"No, not at all",Not sure/can't remember,333
A few times per week,,"No, not really",No,334
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,335
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,336
Multiple times per day,Multiple times per day,Neutral,Yes,337
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,338
Daily or almost daily,Daily or almost daily,"Yes, somewhat",Yes,339
Multiple times per day,Multiple times per day,"Yes, somewhat",Yes,340
A few times per week,,"No, not really",No,341
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,342
A few times per month or weekly,,"No, not at all",No,343
A few times per week,,Neutral,Not sure/can't remember,344
Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,345
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,346
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,347
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,348
Multiple times per day,,"Yes, definitely",Not sure/can't remember,349
A few times per week,,"No, not really",No,350
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,351
A few times per month or weekly,A few times per month or weekly,"Yes, definitely",Yes,352
A few times per week,,"No, not at all",No,353
A few times per week,,"No, not at all",No,354
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,355
A few times per week,Less than once per month or monthly,"Yes, definitely",Yes,356
A few times per month or weekly,,"No, not really",Not sure/can't remember,357
A few times per week,,"No, not at all",No,358
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,359
A few times per week,,Neutral,No,360
A few times per week,,"No, not really",No,361
A few times per month or weekly,,"No, not really",Not sure/can't remember,362
Daily or almost daily,A few times per month or weekly,Neutral,Yes,363
Less than once per month or monthly,Less than once per month or monthly,"No, not at all",Yes,364
A few times per week,Less than once per month or monthly,"No, not really",Yes,365
A few times per month or weekly,,"No, not at all",No,366
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,367
Multiple times per day,,Neutral,No,368
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,369
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,370
Daily or almost daily,I have never participated in Q&A on Stack Overflow,Neutral,Yes,371
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,372
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,373
Daily or almost daily,,"Yes, somewhat",No,374
A few times per week,Less than once per month or monthly,"No, not really",Yes,375
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,376
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,377
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,378
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,379
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,380
Less than once per month or monthly,,"No, not really",No,381
Less than once per month or monthly,Less than once per month or monthly,"No, not at all",Yes,382
Daily or almost daily,,"No, not at all",No,383
Multiple times per day,I have never participated in Q&A on Stack Overflow,Neutral,Yes,384
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,385
Daily or almost daily,,"No, not really",No,386
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,387
A few times per week,A few times per month or weekly,"Yes, definitely",Yes,388
Multiple times per day,Less than once per month or monthly,Neutral,Yes,389
Daily or almost daily,,"No, not at all",No,390
A few times per week,Less than once per month or monthly,"No, not really",Yes,391
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,392
Daily or almost daily,A few times per month or weekly,Neutral,Yes,393
A few times per week,A few times per month or weekly,"Yes, definitely",Yes,394
A few times per week,,"No, not really",No,395
Multiple times per day,A few times per month or weekly,"No, not really",Yes,396
Daily or almost daily,,"No, not at all",Not sure/can't remember,397
Multiple times per day,A few times per week,Neutral,Yes,398
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,399
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,400
A few times per month or weekly,,"No, not really",Not sure/can't remember,401
Multiple times per day,Multiple times per day,Neutral,Yes,402
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,403
A few times per week,Less than once per month or monthly,"No, not really",Yes,404
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,405
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,406
Daily or almost daily,,Neutral,Not sure/can't remember,407
A few times per month or weekly,,"No, not really",Not sure/can't remember,408
A few times per month or weekly,,"No, not really",No,409
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,410
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,411
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,412
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,413
Daily or almost daily,,"No, not really",No,414
A few times per month or weekly,,"No, not really",No,415
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,416
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,417
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,418
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,419
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,420
A few times per week,Less than once per month or monthly,"No, not really",Yes,421
A few times per week,Less than once per month or monthly,"No, not really",Yes,422
Multiple times per day,Less than once per month or monthly,"No, not at all",Yes,423
A few times per month or weekly,Less than once per month or monthly,"Yes, somewhat",Yes,424
Daily or almost daily,,"No, not at all",No,425
A few times per month or weekly,,"No, not at all",No,426
A few times per month or weekly,,"No, not at all",No,427
Multiple times per day,Less than once per month or monthly,"Yes, somewhat",Yes,428
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,429
A few times per week,,"No, not at all",No,430
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,431
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,432
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,433
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,434
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,435
Multiple times per day,,"No, not at all",No,436
A few times per week,,"No, not really",No,437
A few times per week,,"No, not at all",No,438
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,439
Multiple times per day,A few times per month or weekly,"Yes, definitely",Yes,440
A few times per week,,"No, not at all",No,441
Multiple times per day,I have never participated in Q&A on Stack Overflow,Neutral,Yes,442
Daily or almost daily,,"No, not at all",No,443
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,444
Daily or almost daily,A few times per month or weekly,"Yes, somewhat",Yes,445
A few times per week,,"No, not really",No,446
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,447
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,448
Daily or almost daily,Daily or almost daily,"No, not really",Yes,449
A few times per week,Less than once per month or monthly,Neutral,Yes,450
A few times per month or weekly,,Not sure,No,451
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,452
A few times per week,Less than once per month or monthly,"Yes, somewhat",Yes,453
A few times per month or weekly,,"No, not at all",No,454
A few times per month or weekly,,"No, not at all",No,455
A few times per month or weekly,,"No, not really",No,456
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,457
A few times per month or weekly,A few times per month or weekly,"No, not really",Yes,458
A few times per month or weekly,,"No, not really",No,459
A few times per month or weekly,,"No, not really",Not sure/can't remember,460
Multiple times per day,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,461
Multiple times per day,A few times per month or weekly,"Yes, somewhat",Yes,462
Multiple times per day,,Not sure,No,463
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,464
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,465
Multiple times per day,Less than once per month or monthly,"No, not really",Yes,466
Daily or almost daily,,"No, not at all",No,467
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,468
A few times per week,,"No, not really",No,469
A few times per week,A few times per month or weekly,"Yes, somewhat",Yes,470
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,471
