ResponseId,LanguageHaveWorkedWith
309,Python
310,Python
310,R
310,Rust
311,C
311,C#
311,HTML/CSS
311,Java
311,JavaScript
311,Lua
311,PowerShell
311,SQL
311,VBA
312,C
312,HTML/CSS
312,Java
312,JavaScript
312,PHP
312,TypeScript
313,C
313,C#
313,HTML/CSS
313,Java
313,JavaScript
313,PowerShell
313,SQL
313,TypeScript
314,C
314,HTML/CSS
314,Java
314,JavaScript
314,Python
315,Bash/Shell
315,Go
315,Python
316,C
316,HTML/CSS
316,Java
316,JavaScript
316,Python
316,SQL
316,Scala
316,TypeScript
317,Bash/Shell
317,C
317,C#
317,PowerShell
317,SQL
318,Dart
318,Kotlin
318,Python
318,R
318,Ruby
318,Swift
318,TypeScript
319,R
319,Rust
319,VBA
320,Python
320,Swift
321,C
321,C#
321,C++
321,HTML/CSS
321,Java
321,JavaScript
321,MATLAB
321,R
321,Rust
321,SQL
322,Bash/Shell
322,Erlang
322,Go
322,Groovy
322,Java
322,JavaScript
322,Lua
322,Python
322,R
322,Ruby
323,Bash/Shell
323,C
323,Clojure
323,Java
323,SQL
324,Bash/Shell
324,C
324,C++
324,Java
324,JavaScript
324,LISP
324,Objective-C
324,Python
325,C
325,C#
325,C++
325,Crystal
325,Dart
325,Go
325,Groovy
325,HTML/CSS
325,Java
325,JavaScript
325,Kotlin
325,Objective-C
325,Python
325,TypeScript
326,C
326,C#
326,C++
326,Python
326,R
326,Rust
327,Bash/Shell
327,Elixir
327,Python
327,R
327,Ruby
327,Rust
328,C
328,C++
328,Java
328,JavaScript
328,SQL
329,Bash/Shell
329,C
329,C#
329,C++
329,Fortran
329,LISP
329,MATLAB
329,PowerShell
329,Python
329,R
329,Rust
330,C
330,C#
330,C++
330,HTML/CSS
330,Java
330,JavaScript
330,R
330,Rust
330,TypeScript
331,Bash/Shell
331,C
331,C#
331,PowerShell
331,Python
332,Bash/Shell
332,C
332,C++
332,HTML/CSS
332,Java
332,JavaScript
332,Python
332,TypeScript
333,Assembly
333,Bash/Shell
333,C
333,C++
333,Python
333,SQL
334,C
334,Python
335,Perl
335,SQL
336,Bash/Shell
336,C
336,C++
336,HTML/CSS
336,Java
336,JavaScript
336,Python
336,SQL
337,C
337,C++
337,Java
337,JavaScript
337,Python
337,R
337,Rust
337,TypeScript
338,Bash/Shell
338,C
338,HTML/CSS
338,Java
338,JavaScript
338,PHP
338,SQL
339,C
339,C#
339,Dart
339,HTML/CSS
339,Java
339,JavaScript
339,PHP
339,Python
339,SQL
339,TypeScript
340,C
340,C#
340,HTML/CSS
340,SQL
340,VBA
341,C
341,Delphi
341,HTML/CSS
341,Java
341,JavaScript
341,PHP
342,Bash/Shell
342,C
342,HTML/CSS
342,Java
342,JavaScript
342,PHP
342,R
342,Rust
342,SQL
343,Bash/Shell
343,Go
343,Python
344,Bash/Shell
344,C
344,HTML/CSS
344,Java
344,JavaScript
344,Kotlin
344,Python
344,R
344,Ruby
344,SQL
344,TypeScript
345,Bash/Shell
345,Java
345,PowerShell
345,SQL
345,VBA
346,Bash/Shell
346,C
346,C#
346,Dart
346,Go
346,HTML/CSS
346,Java
346,JavaScript
346,R
346,Rust
346,TypeScript
347,Bash/Shell
347,C
347,C++
347,HTML/CSS
347,Java
347,JavaScript
347,Python
347,SQL
348,C
348,HTML/CSS
348,Java
348,JavaScript
348,Kotlin
348,Python
348,TypeScript
349,Bash/Shell
349,Perl
349,SQL
350,C
350,C++
350,Java
350,JavaScript
350,Julia
350,Python
350,R
350,Rust
350,TypeScript
351,Bash/Shell
351,C
351,C++
351,Go
351,Python
352,Java
352,JavaScript
352,TypeScript
353,Bash/Shell
353,Java
353,JavaScript
353,R
353,Rust
353,TypeScript
354,Bash/Shell
354,C
354,C#
354,HTML/CSS
354,Java
354,JavaScript
354,PowerShell
354,SQL
354,TypeScript
355,C
355,C#
355,HTML/CSS
355,PowerShell
355,Python
356,Kotlin
357,Bash/Shell
357,Java
357,JavaScript
357,PHP
357,SQL
358,C
358,C#
358,Dart
358,Go
358,Java
358,JavaScript
358,Swift
358,TypeScript
359,Assembly
359,Bash/Shell
359,C
359,MATLAB
359,Python
360,C
360,C#
360,C++
360,HTML/CSS
360,Java
360,JavaScript
360,Kotlin
360,Lua
360,PowerShell
360,R
360,Rust
360,SQL
360,TypeScript
361,Bash/Shell
361,C
361,C++
361,Dart
361,Go
361,HTML/CSS
361,Java
361,JavaScript
361,Python
361,R
361,Rust
361,SQL
362,Bash/Shell
362,C
362,Go
362,R
362,Rust
362,SQL
362,TypeScript
363,C
363,C#
363,Java
363,JavaScript
363,Lua
363,PowerShell
363,Python
363,SQL
364,C
364,C#
364,Java
365,C
365,C#
365,Elixir
365,PowerShell
365,SQL
365,TypeScript
