ResponseId,LanguageWantToWorkWith
60,JavaScript
60,Kotlin
60,Python
60,R
60,Rust
60,TypeScript
61,Assembly
61,Dart
61,R
61,Rust
61,SQL
61,Solidity
62,Java
62,Kotlin
63,C
63,HTML/CSS
63,Java
63,JavaScript
63,Python
63,R
63,Rust
63,TypeScript
64,C
64,C#
64,Erlang
64,Haskell
64,R
64,Rust
65,C
65,C++
65,Java
65,JavaScript
66,C
66,HTML/CSS
66,Java
67,C
67,C#
67,HTML/CSS
67,Java
67,JavaScript
67,SQL
67,TypeScript
68,C
68,C#
68,C++
68,PowerShell
68,Python
68,R
68,Rust
69,Java
69,SQL
69,TypeScript
71,Bash/Shell
71,C
71,Groovy
71,Java
71,JavaScript
71,Python
72,Java
72,JavaScript
72,SQL
73,Bash/Shell
73,C
73,Go
73,HTML/CSS
73,Java
73,JavaScript
73,Python
73,R
73,Rust
73,SQL
74,C
74,C#
74,Swift
74,TypeScript
75,Go
75,R
75,Rust
75,TypeScript
76,C
76,C#
76,PHP
76,SQL
77,Java
78,Bash/Shell
78,R
78,Rust
79,C
79,Clojure
79,SQL
80,Delphi
81,Bash/Shell
81,C
81,HTML/CSS
81,Java
81,JavaScript
82,Java
82,R
83,C
83,C#
83,HTML/CSS
83,Java
83,JavaScript
83,R
83,Rust
83,SQL
83,TypeScript
84,Dart
84,R
84,Rust
85,C
85,Clojure
85,Dart
85,Go
85,Java
85,JavaScript
85,Kotlin
85,Python
85,Scala
85,TypeScript
87,Bash/Shell
87,C
87,C#
87,Groovy
87,HTML/CSS
87,Java
87,JavaScript
88,TypeScript
89,C
89,C#
89,C++
89,Python
90,Python
90,SQL
91,Delphi
92,Bash/Shell
92,C
92,C++
92,HTML/CSS
92,Python
92,R
93,C
93,HTML/CSS
93,TypeScript
95,Bash/Shell
95,C
95,Python
95,R
95,Rust
96,C
96,HTML/CSS
96,Java
96,JavaScript
96,R
96,Ruby
96,Rust
97,C
97,C#
97,HTML/CSS
97,Java
97,JavaScript
97,SQL
97,VBA
98,Swift
99,C
99,C++
99,Clojure
99,Java
99,JavaScript
99,Kotlin
99,Python
99,Scala
100,APL
100,Assembly
100,Bash/Shell
100,C
100,C++
100,Haskell
100,LISP
100,Perl
100,Python
100,R
100,Rust
101,Kotlin
101,Python
102,C
102,C#
103,C
103,C++
103,Python
103,R
104,Java
104,JavaScript
104,Python
104,SQL
104,TypeScript
105,Go
105,TypeScript
106,C
106,C#
107,C
107,C++
107,Java
107,JavaScript
107,Python
107,R
107,SQL
107,VBA
108,C
108,C#
108,SQL
109,C
109,C#
109,Go
109,R
109,Rust
109,TypeScript
110,Go
111,C
111,C#
111,Go
111,HTML/CSS
111,Java
111,JavaScript
111,Python
111,SQL
111,TypeScript
112,Bash/Shell
112,Python
113,Bash/Shell
113,C
113,HTML/CSS
113,Java
113,JavaScript
113,PHP
113,R
113,SQL
113,TypeScript
114,Go
114,Java
114,JavaScript
114,Python
114,R
114,Ruby
114,Swift
114,TypeScript
115,Dart
115,Java
115,Python
116,C
116,HTML/CSS
116,Java
116,JavaScript
116,Python
117,C
117,C#
118,C
118,HTML/CSS
118,Java
118,JavaScript
118,SQL
118,TypeScript
119,Bash/Shell
119,Python
120,C
120,Clojure
120,Kotlin
120,TypeScript
121,Go
121,Kotlin
121,Python
121,R
121,Rust
122,C
122,C#
122,HTML/CSS
122,Java
122,JavaScript
122,SQL
122,TypeScript
123,C
123,Crystal
123,Kotlin
123,SQL
123,VBA
124,Go
124,Kotlin
124,Python
124,R
124,Rust
124,SQL
124,TypeScript
125,Assembly
125,C
125,C#
125,C++
125,R
125,Rust
126,Java
126,JavaScript
126,Python
126,SQL
127,C
127,C#
127,Dart
127,Go
127,HTML/CSS
127,Java
127,JavaScript
127,PHP
127,SQL
127,TypeScript
128,C
128,C#
128,C++
128,Java
128,JavaScript
128,Python
129,Bash/Shell
129,C
129,C++
129,Python
129,R
129,Rust
131,Go
132,C
132,C#
132,HTML/CSS
132,Java
132,JavaScript
132,PowerShell
132,TypeScript
133,Java
133,JavaScript
133,Perl
133,Python
133,R
133,Ruby
133,SQL
134,C
134,Elixir
134,HTML/CSS
134,Java
134,JavaScript
134,Python
134,R
134,Ruby
134,TypeScript
135,R
135,Rust
136,C
136,C++
137,Kotlin
137,R
137,Rust
138,Python
138,Scala
139,C
139,C#
139,C++
139,Java
139,JavaScript
139,Python
139,R
140,Groovy
141,C
141,HTML/CSS
141,Java
141,JavaScript
141,TypeScript
142,F#
142,Python
142,R
142,Rust
144,C
144,Clojure
144,HTML/CSS
144,Java
144,JavaScript
144,LISP
144,SQL
144,Scala
145,Go
145,Java
145,JavaScript
145,R
145,Rust
145,TypeScript
147,Go
147,Java
147,Kotlin
147,R
147,Rust
147,TypeScript
148,C
148,HTML/CSS
148,Java
148,JavaScript
148,Python
148,SQL
148,TypeScript
149,C
149,C#
149,R
149,Rust
150,Python
151,Bash/Shell
151,C
151,HTML/CSS
151,Java
151,JavaScript
151,Python
151,SQL
152,C
152,C#
152,C++
152,Dart
152,Java
152,JavaScript
152,Kotlin
152,PHP
152,Python
152,Swift
153,C
153,Go
153,HTML/CSS
153,Java
153,JavaScript
153,Python
153,SQL
154,Bash/Shell
154,C
154,C#
154,Erlang
154,Go
154,HTML/CSS
154,Java
154,Kotlin
154,Python
154,SQL
156,C
156,C#
156,TypeScript
157,C
157,HTML/CSS
157,Java
157,JavaScript
157,Python
157,Swift
157,TypeScript
158,Bash/Shell
158,Go
158,R
158,Rust
158,TypeScript
159,C
159,HTML/CSS
159,Haskell
159,Java
159,JavaScript
159,LISP
159,Python
159,Scala
159,TypeScript
160,C
160,C#
161,Go
161,Python
162,Go
162,Java
163,Java
163,SQL
164,C
164,C#
164,Kotlin
164,SQL
165,Go
165,Java
165,Kotlin
165,Scala
167,C
167,C++
167,Python
168,C
168,C#
168,Go
168,HTML/CSS
168,Java
168,JavaScript
168,Python
168,R
168,Rust
168,SQL
168,Solidity
168,TypeScript
169,Assembly
169,C
170,LISP
170,Python
171,C
171,C#
171,Python
171,Swift
172,C
172,C++
172,Python
173,C
173,HTML/CSS
173,Python
173,R
173,Rust
174,Assembly
174,Bash/Shell
174,C
174,Dart
174,Go
174,Groovy
174,Java
174,JavaScript
174,Kotlin
174,Lua
174,Python
174,SQL
174,Swift
175,C
175,HTML/CSS
175,Java
175,JavaScript
175,PowerShell
176,Kotlin
176,R
176,Rust
177,Bash/Shell
177,Java
177,JavaScript
177,Python
177,SQL
178,C
178,HTML/CSS
178,Java
178,JavaScript
178,Python
178,TypeScript
179,Elixir
179,Go
179,R
179,Ruby
179,Rust
180,C
180,C#
181,Go
181,Java
181,Kotlin
182,C
182,HTML/CSS
182,Java
182,JavaScript
182,Python
182,SQL
182,TypeScript
183,Go
184,Bash/Shell
184,C
184,C#
184,C++
184,Clojure
184,Elixir
184,Erlang
184,F#
184,HTML/CSS
184,Haskell
184,Java
184,JavaScript
184,Julia
184,Kotlin
184,LISP
184,PowerShell
184,R
184,Rust
184,SQL
184,Scala
184,Swift
184,TypeScript
185,Groovy
185,Java
185,JavaScript
186,C
186,R
186,Rust
187,Delphi
187,SQL
188,Bash/Shell
188,C
188,HTML/CSS
188,Java
188,JavaScript
188,PHP
188,Python
188,SQL
188,TypeScript
189,Go
189,Python
191,C
191,C#
191,HTML/CSS
191,Java
191,JavaScript
191,R
191,Rust
192,C
192,Clojure
192,Julia
192,R
192,Rust
193,Assembly
193,C
193,C#
193,C++
194,Bash/Shell
194,C
194,C++
194,Go
194,Java
194,Python
194,SQL
194,Swift
195,Assembly
195,Bash/Shell
195,C
195,C++
195,Python
196,Elixir
196,Python
196,R
196,Rust
196,TypeScript
197,APL
197,Bash/Shell
197,C
197,Clojure
197,Erlang
197,LISP
197,Lua
197,Python
197,R
197,Ruby
198,R
198,Rust
199,Python
199,R
199,Rust
200,C
200,C#
200,Go
200,PowerShell
201,Java
201,JavaScript
201,TypeScript
202,Bash/Shell
202,C
202,C++
202,LISP
202,Python
202,R
202,Rust
202,SQL
203,Bash/Shell
203,Python
203,SQL
204,Bash/Shell
204,Java
204,Kotlin
204,R
204,Rust
205,C
205,C#
205,F#
205,Java
205,JavaScript
205,Swift
206,C
206,C++
206,Dart
206,Go
206,HTML/CSS
206,Java
206,JavaScript
206,Kotlin
206,Objective-C
206,R
206,Rust
206,Swift
207,C
207,C#
207,HTML/CSS
207,SQL
207,TypeScript
208,C
208,C++
208,PHP
208,R
208,Ruby
209,Kotlin
209,PHP
210,C
210,HTML/CSS
210,TypeScript
211,Java
211,JavaScript
211,Kotlin
212,C
212,C#
212,C++
212,Dart
212,Go
212,HTML/CSS
212,Java
212,JavaScript
212,Python
212,R
212,Ruby
212,Rust
212,SQL
212,TypeScript
213,C
213,C++
213,Perl
213,R
213,Rust
213,SQL
214,Java
214,JavaScript
214,Python
214,TypeScript
216,Bash/Shell
216,C
216,C++
216,Go
216,HTML/CSS
216,Python
216,R
216,Rust
216,TypeScript
218,C
218,C#
218,Go
218,PowerShell
218,SQL
219,C
219,C#
219,C++
219,Erlang
219,Go
219,Java
219,JavaScript
219,Python
219,SQL
219,TypeScript
220,Python
221,Go
221,Java
221,SQL
222,C
222,C#
222,C++
222,SQL
222,TypeScript
223,Java
223,JavaScript
223,VBA
224,C
224,C++
224,HTML/CSS
224,Java
224,JavaScript
224,Python
225,C
225,C#
225,SQL
226,C
226,C#
226,Go
226,PowerShell
226,Python
226,SQL
227,R
227,Rust
228,C
228,HTML/CSS
228,Java
228,JavaScript
228,PowerShell
228,Python
228,SQL
228,TypeScript
229,Go
231,C
231,HTML/CSS
231,Kotlin
231,Python
231,R
231,Rust
231,SQL
231,TypeScript
232,Bash/Shell
232,Python
232,SQL
232,Scala
233,C
233,C#
233,C++
233,F#
233,Go
233,HTML/CSS
233,Java
233,JavaScript
233,Python
233,SQL
233,TypeScript
234,Bash/Shell
234,Go
236,C
236,C#
237,Go
237,Python
237,SQL
237,Scala
238,Delphi
239,Bash/Shell
239,C
239,HTML/CSS
239,Python
239,SQL
240,C
240,HTML/CSS
240,Java
240,JavaScript
240,Python
240,R
240,Ruby
240,SQL
241,C
241,C++
241,Python
241,R
241,Rust
242,C
242,C#
242,HTML/CSS
242,Java
242,JavaScript
242,Lua
242,Python
242,SQL
243,C
243,Java
244,C
244,Dart
244,HTML/CSS
244,Java
244,JavaScript
244,Python
244,R
244,SAS
244,SQL
244,Swift
244,TypeScript
245,Haskell
245,Python
245,R
245,Rust
246,C
246,Go
246,HTML/CSS
246,Java
246,JavaScript
246,PHP
246,Python
246,SQL
247,C
247,C#
247,F#
247,HTML/CSS
247,Java
247,JavaScript
247,PowerShell
247,SQL
247,Swift
247,TypeScript
248,Java
248,JavaScript
248,Kotlin
248,Python
249,Python
250,C
250,C++
250,Dart
250,HTML/CSS
250,Java
250,JavaScript
250,PHP
250,Python
250,R
250,Rust
251,R
251,Rust
252,C
252,C#
252,Kotlin
252,Swift
253,C
253,C#
253,R
253,Rust
253,TypeScript
254,Bash/Shell
254,C
254,C++
254,Kotlin
254,R
254,Rust
255,C
256,Bash/Shell
256,Go
256,Java
256,JavaScript
256,Python
257,Bash/Shell
257,C
257,HTML/CSS
257,Java
257,JavaScript
257,PHP
257,PowerShell
257,Python
257,SQL
258,Haskell
258,Python
258,R
258,Rust
258,SQL
259,C
259,Clojure
259,Go
259,Python
260,C
260,C#
260,HTML/CSS
260,Java
260,JavaScript
260,R
260,Rust
260,TypeScript
261,C
261,C#
261,HTML/CSS
261,Java
261,JavaScript
261,SQL
262,Assembly
262,C
262,R
262,Rust
262,Swift
263,R
263,Rust
265,Bash/Shell
265,Go
265,Groovy
265,Java
265,JavaScript
265,Python
265,R
265,Rust
265,SQL
266,C
266,C++
266,Python
266,R
266,Rust
267,Bash/Shell
267,C
267,C++
267,Go
267,Java
267,JavaScript
267,Python
267,SQL
267,TypeScript
268,C
268,HTML/CSS
268,Java
268,JavaScript
268,Python
269,Bash/Shell
269,C
269,C#
269,HTML/CSS
269,Java
269,JavaScript
269,Python
269,R
269,Rust
269,SQL
269,TypeScript
270,C
270,C++
270,R
270,Rust
271,Go
273,C
273,C#
273,Java
273,R
273,Rust
274,Delphi
274,Python
274,R
274,Ruby
274,SQL
274,TypeScript
275,C
275,C++
275,Python
276,Bash/Shell
276,Go
276,Python
276,R
276,Rust
276,SQL
277,Bash/Shell
277,C
277,Go
277,HTML/CSS
277,Java
277,JavaScript
277,Python
277,SQL
278,C
278,C#
278,Java
278,JavaScript
278,Python
278,TypeScript
279,C
279,C#
279,HTML/CSS
279,Java
279,JavaScript
279,TypeScript
280,C
280,C++
280,Java
280,Python
281,Go
281,R
281,Rust
281,TypeScript
282,Assembly
282,C
282,C#
282,C++
282,Haskell
282,R
282,Rust
283,C
283,Clojure
283,Crystal
283,Java
283,R
283,Ruby
284,Java
284,JavaScript
284,Kotlin
284,PHP
284,SQL
285,Java
285,JavaScript
285,PowerShell
286,Bash/Shell
286,Python
286,R
286,Rust
286,SQL
286,TypeScript
287,C
287,HTML/CSS
287,Java
287,JavaScript
287,Kotlin
287,TypeScript
289,Lua
289,R
289,Rust
290,C
290,C#
290,C++
290,Dart
290,Go
290,Python
291,C
291,HTML/CSS
291,Java
291,JavaScript
291,Python
291,R
291,Ruby
291,SQL
291,TypeScript
292,Bash/Shell
292,C
292,C#
292,Java
292,Kotlin
292,TypeScript
293,Java
293,JavaScript
293,PowerShell
293,SQL
294,Julia
294,Python
295,Elixir
295,R
295,Rust
295,SQL
296,Elixir
296,Julia
297,Bash/Shell
297,C
297,Go
297,HTML/CSS
297,Java
297,JavaScript
297,SQL
298,C
298,C#
298,C++
298,Java
298,JavaScript
299,C
299,C#
299,HTML/CSS
299,Java
299,JavaScript
299,Python
299,TypeScript
300,Java
300,JavaScript
300,Python
301,Dart
302,Java
302,JavaScript
302,R
302,Rust
302,TypeScript
303,R
303,Rust
303,Swift
304,C
304,HTML/CSS
304,Java
304,JavaScript
304,PHP
304,R
304,Ruby
304,SQL
305,C
305,C#
305,HTML/CSS
305,Java
305,JavaScript
305,Kotlin
305,Python
305,SQL
305,TypeScript
306,C
306,C++
306,Dart
306,Go
306,Haskell
306,Julia
306,Kotlin
306,LISP
306,Python
306,R
306,Rust
306,TypeScript
307,Kotlin
308,Elixir
308,Erlang
308,Go
308,Python
308,R
308,Rust
308,SQL
308,TypeScript
309,C
309,C#
309,PHP
309,R
309,Ruby
309,Rust
309,SQL
309,TypeScript
310,R
310,Rust
311,C
311,C#
311,HTML/CSS
311,Java
311,JavaScript
311,SQL
311,TypeScript
312,C
312,C++
312,Python
312,R
312,Rust
313,Bash/Shell
313,C
313,C#
313,HTML/CSS
313,Java
313,JavaScript
313,SQL
313,TypeScript
314,C
314,HTML/CSS
314,Java
314,JavaScript
314,Python
314,TypeScript
315,Bash/Shell
315,Python
315,R
315,Rust
316,C
316,HTML/CSS
316,Python
316,SQL
316,Scala
316,TypeScript
317,C
317,C#
318,Dart
318,Python
318,R
318,Ruby
319,R
319,Rust
320,Java
320,Kotlin
320,Python
320,Swift
321,C
321,C#
321,Dart
321,HTML/CSS
321,Java
321,R
321,Rust
321,SQL
322,Bash/Shell
322,Erlang
322,Go
322,Groovy
322,Java
322,JavaScript
322,Python
322,R
322,Ruby
323,Bash/Shell
323,C
323,Clojure
323,Java
323,SQL
324,Bash/Shell
324,Go
324,LISP
324,Python
325,C
325,C++
325,Dart
325,Go
325,Java
325,JavaScript
325,R
325,Rust
325,TypeScript
326,C
326,C#
326,C++
326,R
326,Rust
327,Bash/Shell
327,Python
327,R
327,Rust
328,Kotlin
328,SQL
329,Assembly
329,Bash/Shell
329,C
329,C#
329,Elixir
329,Julia
329,Lua
329,Python
329,R
329,Rust
330,C
330,HTML/CSS
330,R
330,Rust
330,TypeScript
331,Bash/Shell
331,C
331,C#
331,Go
331,Python
332,Bash/Shell
332,C
332,C++
332,HTML/CSS
332,Java
332,JavaScript
332,Python
332,TypeScript
333,Assembly
333,C
333,C++
333,Python
333,R
333,Rust
334,C
334,C++
334,Go
334,R
334,Rust
335,Go
335,Julia
335,Python
335,Swift
336,Bash/Shell
336,C
336,C++
336,Go
336,HTML/CSS
336,Java
336,JavaScript
336,Python
336,R
336,Rust
336,SQL
336,Scala
336,TypeScript
337,Haskell
337,R
337,Rust
338,Bash/Shell
338,C
338,C++
338,HTML/CSS
338,Java
338,JavaScript
338,PHP
338,SQL
339,C
339,C#
339,HTML/CSS
339,Java
339,JavaScript
340,C
340,C#
341,C
341,Delphi
341,HTML/CSS
341,Java
341,JavaScript
341,PHP
342,Bash/Shell
342,C
342,HTML/CSS
342,Java
342,JavaScript
342,PHP
342,R
342,Rust
342,SQL
343,Go
345,Bash/Shell
345,C
345,C#
345,Java
345,JavaScript
345,PowerShell
345,Python
345,SQL
345,VBA
346,Bash/Shell
346,C
346,Dart
346,Go
346,HTML/CSS
346,R
346,Rust
346,TypeScript
347,Bash/Shell
347,C
347,C++
347,Go
347,HTML/CSS
347,Java
347,JavaScript
347,Python
347,R
348,Elixir
348,Erlang
348,Go
348,R
348,Rust
349,Elixir
350,C
350,Clojure
350,Elixir
350,F#
350,Julia
350,OCaml
350,R
350,Rust
351,Bash/Shell
351,C
351,C++
351,Go
351,R
351,Rust
351,SQL
352,Java
352,JavaScript
352,TypeScript
353,R
353,Rust
353,TypeScript
354,Bash/Shell
354,C
354,HTML/CSS
354,Java
354,JavaScript
354,Python
354,R
354,Rust
354,SQL
354,TypeScript
355,C
355,C#
355,F#
355,R
355,Rust
356,Kotlin
357,Assembly
357,Bash/Shell
357,Java
357,Perl
357,SQL
358,C
358,C++
358,R
358,Rust
358,TypeScript
359,Assembly
359,Bash/Shell
359,C
359,C++
359,Python
359,R
359,Ruby
359,Rust
360,C
360,C#
360,C++
360,HTML/CSS
360,Java
360,JavaScript
360,Kotlin
360,Lua
360,PowerShell
360,TypeScript
361,R
361,Rust
362,Go
362,R
362,Rust
363,C
363,C#
363,PowerShell
364,C
364,C#
364,Go
364,Java
365,C
365,C#
365,Elixir
365,F#
365,PowerShell
366,Go
366,Java
366,Python
366,SQL
367,C
367,Clojure
367,Go
367,Julia
367,Python
367,R
367,Rust
368,Bash/Shell
368,C
368,C#
368,C++
368,Go
368,PowerShell
368,Python
368,R
368,Rust
369,Assembly
369,C
369,C++
369,HTML/CSS
369,Haskell
369,Java
369,JavaScript
369,Lua
369,Python
369,R
369,Rust
369,SQL
369,TypeScript
370,Bash/Shell
370,C
370,HTML/CSS
370,Kotlin
370,Python
370,R
370,Rust
370,SQL
371,R
371,Rust
372,R
372,Rust
373,C
373,C#
373,SQL
373,TypeScript
374,Elixir
374,Go
374,R
374,Rust
376,C
376,C#
376,C++
377,C
377,C++
377,Haskell
377,Python
377,R
377,Rust
377,Swift
378,R
378,Rust
378,SQL
379,R
379,Rust
381,Go
381,Java
382,C
382,HTML/CSS
382,Java
382,JavaScript
382,R
382,Rust
382,SQL
382,TypeScript
383,Assembly
383,Bash/Shell
383,C
383,C++
383,R
383,Rust
383,SQL
384,Go
384,Python
385,Bash/Shell
385,C
385,HTML/CSS
385,Java
385,Kotlin
385,Perl
385,Python
385,SQL
385,TypeScript
386,Elixir
386,Java
386,TypeScript
387,Java
387,JavaScript
387,SQL
388,C
388,HTML/CSS
388,Java
388,JavaScript
388,PHP
388,TypeScript
389,C
389,C#
389,C++
389,Python
390,R
390,Rust
390,TypeScript
391,C
391,C#
391,Elixir
391,F#
391,Go
391,HTML/CSS
391,Java
391,JavaScript
391,SQL
391,Swift
391,TypeScript
392,R
392,Rust
392,TypeScript
393,C
393,C#
393,HTML/CSS
393,Java
393,JavaScript
393,PowerShell
393,SQL
393,TypeScript
394,APL
394,C
394,C++
394,Haskell
394,Perl
394,R
394,Rust
395,Python
395,R
395,Rust
395,TypeScript
396,C
396,HTML/CSS
396,Java
396,JavaScript
396,PowerShell
396,Python
396,SQL
396,TypeScript
397,C
397,C#
397,HTML/CSS
397,Java
397,JavaScript
397,PowerShell
397,SQL
397,TypeScript
398,Assembly
398,C
398,C#
398,C++
399,Bash/Shell
399,C
399,C++
399,Go
399,Groovy
399,Java
399,Kotlin
399,Python
400,Python
400,SQL
401,Bash/Shell
401,C
401,C#
401,Go
401,Java
401,Kotlin
401,PowerShell
401,Python
401,SQL
402,C
402,HTML/CSS
402,Java
402,JavaScript
402,TypeScript
403,C
403,HTML/CSS
403,Java
403,JavaScript
403,R
403,Rust
403,Swift
403,TypeScript
404,C
404,C#
404,C++
404,HTML/CSS
404,Java
404,JavaScript
404,Python
405,Elixir
405,Haskell
406,Kotlin
406,R
406,Rust
407,C
407,C#
407,Java
407,JavaScript
407,PowerShell
407,SQL
408,Lua
408,R
408,Rust
409,Go
409,R
409,Rust
409,Solidity
409,Swift
410,C
410,HTML/CSS
410,R
410,Rust
411,Assembly
411,C
411,Clojure
411,Haskell
411,Python
411,R
411,Rust
411,SQL
412,R
412,Rust
413,Java
413,Python
414,R
414,Rust
415,Dart
415,Go
415,Python
415,R
415,Rust
416,Assembly
416,Bash/Shell
416,C
416,C++
416,Dart
416,Go
416,HTML/CSS
416,Java
416,JavaScript
416,Python
416,R
416,Rust
416,SQL
416,TypeScript
417,C
417,C++
417,Go
418,Elixir
418,R
418,Rust
419,C
419,C#
419,HTML/CSS
419,Java
419,JavaScript
419,TypeScript
420,Haskell
420,LISP
420,R
420,Rust
421,C
421,HTML/CSS
421,Java
421,JavaScript
421,Python
421,R
421,Ruby
421,SQL
422,Bash/Shell
422,Python
422,R
422,Rust
423,R
423,Ruby
423,Swift
424,C
424,C++
424,Python
425,C
425,C#
425,Go
425,Java
425,JavaScript
425,Python
426,Assembly
426,Bash/Shell
426,C
426,Haskell
426,LISP
426,Lua
426,OCaml
426,Python
426,R
426,Rust
426,TypeScript
427,Bash/Shell
427,R
427,Rust
427,SQL
428,Bash/Shell
428,C
428,C++
428,Go
428,HTML/CSS
428,Java
428,JavaScript
428,Python
428,R
428,Ruby
428,SQL
429,C
429,C#
429,F#
429,Haskell
429,Java
429,JavaScript
429,Kotlin
429,PHP
429,R
429,Rust
429,SQL
429,TypeScript
430,Go
431,Kotlin
431,Swift
432,Bash/Shell
432,C
432,HTML/CSS
432,Java
432,JavaScript
432,PowerShell
432,Python
432,SQL
433,C
433,C++
433,Delphi
434,C
434,Groovy
434,HTML/CSS
434,Java
434,Perl
434,SQL
434,VBA
435,Go
435,Java
436,C
436,C#
436,Go
436,HTML/CSS
436,Java
436,JavaScript
436,Python
437,APL
437,C
437,Elixir
437,Erlang
437,F#
437,Haskell
437,OCaml
437,R
437,Rust
438,Java
438,JavaScript
438,R
438,Rust
439,C
439,C#
439,Dart
440,Python
440,SQL
440,Scala
441,Kotlin
441,R
441,Rust
442,C
442,Go
442,HTML/CSS
442,Java
442,JavaScript
442,R
442,Rust
442,SQL
442,TypeScript
443,Bash/Shell
443,C
443,HTML/CSS
443,Java
443,JavaScript
443,Python
443,SQL
444,C
444,Haskell
444,Lua
444,OCaml
444,Python
444,R
444,Rust
444,TypeScript
445,C
445,HTML/CSS
445,Java
445,JavaScript
445,SQL
445,TypeScript
446,Python
446,SQL
446,Scala
447,C
447,HTML/CSS
447,Java
447,JavaScript
447,R
447,Rust
447,TypeScript
448,Bash/Shell
448,C
448,C++
448,Go
448,Python
448,R
448,Rust
448,TypeScript
449,C
449,Python
450,Python
450,R
450,Rust
451,Lua
451,R
451,Rust
453,C
453,C#
453,Delphi
453,HTML/CSS
453,Java
453,JavaScript
454,Go
454,Java
454,JavaScript
454,Python
454,TypeScript
455,Julia
455,R
455,Ruby
455,Rust
456,C
456,C#
456,Elixir
456,F#
456,Haskell
456,R
456,Rust
457,Bash/Shell
457,Go
457,Kotlin
457,Python
457,R
457,Rust
457,TypeScript
458,R
458,Rust
459,Bash/Shell
459,Python
459,R
459,Rust
460,C
460,HTML/CSS
460,Haskell
460,Java
460,JavaScript
460,Kotlin
460,R
460,Rust
460,TypeScript
461,Bash/Shell
461,C
461,HTML/CSS
461,Java
461,JavaScript
461,PowerShell
461,Python
461,R
461,Rust
