ResponseId,ToolsTechWantToWorkWith
966,Yarn
966,npm
967,Docker
967,Yarn
968,Docker
969,Docker
969,Homebrew
970,npm
971,Ansible
971,Docker
972,Yarn
972,npm
974,Docker
975,Yarn
975,npm
976,Docker
976,Kubernetes
977,Kubernetes
977,npm
978,Docker
980,Homebrew
980,Kubernetes
981,Docker
982,Docker
982,Homebrew
984,Docker
984,npm
985,Kubernetes
985,Terraform
986,Kubernetes
986,Unity 3D
986,Unreal Engine
987,Docker
987,Homebrew
987,Kubernetes
987,npm
988,Docker
988,Terraform
989,Docker
989,Terraform
990,Unity 3D
991,Docker
991,Homebrew
992,Docker
992,Homebrew
992,Kubernetes
993,npm
994,Pulumi
994,Terraform
995,Docker
995,npm
996,Unreal Engine
996,npm
997,Docker
997,Kubernetes
1000,Unity 3D
1002,Docker
1002,Homebrew
1002,Puppet
1002,npm
1003,Docker
1003,Homebrew
1003,Kubernetes
1003,Yarn
1005,Docker
1005,Terraform
1005,Unity 3D
1005,Yarn
1006,Kubernetes
1007,Docker
1007,Homebrew
1007,Unity 3D
1007,npm
1008,Docker
1008,Homebrew
1008,Kubernetes
1008,Terraform
1008,Yarn
1008,npm
1009,Docker
1009,Kubernetes
1010,npm
1011,Docker
1012,Ansible
1012,Docker
1012,Kubernetes
1014,Docker
1015,Docker
1015,Unity 3D
1019,Docker
1019,Homebrew
1019,npm
1020,Docker
1020,Kubernetes
1020,npm
1021,Homebrew
1021,Kubernetes
1021,Yarn
1021,npm
1022,Homebrew
1022,Yarn
1024,Docker
1025,Docker
1025,Kubernetes
1025,Yarn
1026,Docker
1026,Homebrew
1026,Kubernetes
1026,Terraform
1026,Unreal Engine
1026,npm
1027,Docker
1028,Docker
1028,Homebrew
1028,Terraform
1029,Ansible
1029,Docker
1029,Kubernetes
1030,Docker
1031,Unity 3D
1031,Unreal Engine
1034,Kubernetes
1035,Docker
1035,npm
1036,Docker
1036,Kubernetes
1036,Terraform
1037,Docker
1037,Kubernetes
1037,Terraform
1038,Docker
1038,Kubernetes
1038,Yarn
1038,npm
1039,Ansible
1039,Docker
1039,Homebrew
1039,Terraform
1040,Ansible
1040,Homebrew
1040,npm
1041,Ansible
1041,Docker
1041,Terraform
1043,Ansible
1043,Docker
1043,Homebrew
1043,Kubernetes
1043,Puppet
1043,npm
1044,Docker
1044,Homebrew
1044,Kubernetes
1048,Yarn
1048,npm
1049,Unreal Engine
1050,Docker
1050,Homebrew
1050,Kubernetes
1050,Terraform
1053,npm
1054,Docker
1055,Docker
1056,Unity 3D
1057,Docker
1057,Homebrew
1057,Kubernetes
1058,Homebrew
1059,Docker
1059,Unreal Engine
1060,Docker
1060,Kubernetes
1060,Unreal Engine
1060,npm
1061,Ansible
1061,Chef
1061,Terraform
1062,Docker
1062,Kubernetes
1063,Homebrew
1063,Yarn
1063,npm
1064,npm
1067,Docker
1067,Homebrew
1067,Yarn
1067,npm
1070,Docker
1070,Homebrew
1070,Terraform
1071,npm
1072,Docker
1072,Homebrew
1073,Docker
1073,Homebrew
1073,Kubernetes
1074,Ansible
1074,Docker
1074,Kubernetes
1074,Unity 3D
1075,Docker
1079,Docker
1079,Terraform
1083,Docker
1083,Kubernetes
1084,Unity 3D
1084,Unreal Engine
1085,Kubernetes
1085,Unity 3D
1085,Unreal Engine
1085,npm
1088,Yarn
1088,npm
1089,Docker
1089,Kubernetes
1090,Ansible
1090,Chef
1090,Kubernetes
1091,Docker
1092,Yarn
1092,npm
1093,npm
1095,Docker
1096,Docker
1096,Homebrew
1096,Kubernetes
1098,Docker
1098,Homebrew
1098,Kubernetes
1098,Terraform
1100,Yarn
1100,npm
1102,Docker
1102,Terraform
1103,Docker
1103,Kubernetes
1103,Terraform
1104,Docker
1107,Docker
1107,Unity 3D
1108,Ansible
1108,Docker
1108,Kubernetes
1108,Terraform
1110,Docker
1111,Docker
1111,Kubernetes
1111,Terraform
1113,Ansible
1113,Docker
1113,Homebrew
1113,Kubernetes
1114,Docker
1115,Ansible
1115,Docker
1115,Kubernetes
1115,Pulumi
1116,Docker
1116,Homebrew
1116,Yarn
1119,Unity 3D
1119,Unreal Engine
1120,Docker
1120,Kubernetes
1123,Ansible
1123,Docker
1124,Docker
1124,Kubernetes
1126,Docker
1126,Homebrew
1126,Kubernetes
1126,Terraform
1128,Docker
1129,Docker
1129,Homebrew
1129,Pulumi
1129,npm
1130,Ansible
1130,Docker
1130,Homebrew
1130,Unreal Engine
1131,npm
1133,Ansible
1133,Docker
1134,Docker
1134,Homebrew
1134,Kubernetes
1135,Terraform
1137,Unity 3D
1138,Docker
1138,Homebrew
1138,Kubernetes
1138,Terraform
1139,Docker
1139,Homebrew
1139,Kubernetes
1140,Docker
1141,Homebrew
1141,Kubernetes
1143,Docker
1143,Terraform
1144,Docker
1144,Homebrew
1144,Kubernetes
1144,Unreal Engine
1145,Docker
1145,Kubernetes
1146,Homebrew
1146,npm
1149,npm
1150,Docker
1150,Homebrew
1150,Kubernetes
1152,Terraform
1154,Docker
1156,Ansible
1156,Docker
1156,Terraform
1156,Unity 3D
1156,Unreal Engine
1156,Yarn
1158,Docker
1158,Kubernetes
1158,Terraform
1159,Docker
1159,Kubernetes
1159,Unity 3D
1160,Docker
1162,Chef
1162,Docker
1162,Homebrew
1162,Kubernetes
1162,Terraform
1162,Yarn
1162,npm
1163,Docker
1163,Kubernetes
1163,Yarn
1163,npm
1164,Docker
1164,Kubernetes
1165,Docker
1165,Kubernetes
1165,Puppet
1167,Docker
1167,Kubernetes
1167,npm
1168,Docker
1168,Kubernetes
1168,Terraform
1168,npm
1169,Yarn
1171,Ansible
1171,Docker
1171,Unity 3D
1172,Kubernetes
1172,Pulumi
1173,Docker
1173,Kubernetes
1173,Pulumi
1173,Terraform
1173,Unreal Engine
1173,npm
1174,Docker
1175,Docker
1176,Docker
1177,Homebrew
1177,Yarn
1178,Ansible
1178,Docker
1178,Kubernetes
1178,Terraform
1179,Ansible
1179,Docker
1179,Homebrew
1179,Kubernetes
1179,Yarn
1179,npm
1181,Kubernetes
1181,Terraform
1181,Unity 3D
1181,Unreal Engine
1182,Docker
1182,npm
1184,Docker
1184,Kubernetes
1184,Yarn
1184,npm
1185,Docker
1185,Unity 3D
1185,Unreal Engine
1185,Yarn
1186,Unity 3D
1186,Unreal Engine
1188,Kubernetes
1189,Docker
1189,Kubernetes
1189,npm
1192,Unity 3D
1192,npm
1193,Docker
1193,Kubernetes
1193,Terraform
1194,Ansible
1194,Docker
1194,Kubernetes
1194,Puppet
1194,Terraform
1194,npm
1195,Docker
1195,Homebrew
1195,npm
1196,Docker
1196,Homebrew
